RGD:1310179	zinc finger protein 593	GO:0006633	fatty acid biosynthetic process
RGD:3208	mitochondrial trans-2-enoyl-CoA reductase	GO:0006633	fatty acid biosynthetic process
RGD:70552	acyl-CoA synthetase long-chain family member 3	GO:0006633	fatty acid biosynthetic process
RGD:1310347	fatty acid 2-hydroxylase	GO:0006633	fatty acid biosynthetic process
RGD:70917	"delta(4)-desaturase, sphingolipid 1"	GO:0006633	fatty acid biosynthetic process
RGD:727826	carbonyl reductase 4	GO:0006633	fatty acid biosynthetic process
RGD:727826	carbonyl reductase 4	GO:0006633	fatty acid biosynthetic process
RGD:727826	carbonyl reductase 4	GO:0006633	fatty acid biosynthetic process
RGD:1587151	ELOVL fatty acid elongase 1	GO:0006633	fatty acid biosynthetic process
RGD:727928	acyl-CoA synthetase medium-chain family member 4	GO:0006633	fatty acid biosynthetic process
RGD:620234	malonyl-CoA decarboxylase	GO:0006633	fatty acid biosynthetic process
RGD:620234	malonyl-CoA decarboxylase	GO:0006633	fatty acid biosynthetic process
RGD:1563648	stearoyl-coenzyme A desaturase 4	GO:0006633	fatty acid biosynthetic process
RGD:1305619	NADH:ubiquinone oxidoreductase subunit AB1	GO:0006633	fatty acid biosynthetic process
RGD:621176	stearoyl-CoA desaturase	GO:0006633	fatty acid biosynthetic process
RGD:621176	stearoyl-CoA desaturase	GO:0006633	fatty acid biosynthetic process
RGD:621177	stearoyl-Coenzyme A desaturase 2	GO:0006633	fatty acid biosynthetic process
RGD:70925	peroxisomal trans-2-enoyl-CoA reductase	GO:0006633	fatty acid biosynthetic process
RGD:1303158	hydroxysteroid (17-beta) dehydrogenase 8	GO:0006633	fatty acid biosynthetic process
RGD:1303158	hydroxysteroid (17-beta) dehydrogenase 8	GO:0006633	fatty acid biosynthetic process
RGD:1303158	hydroxysteroid (17-beta) dehydrogenase 8	GO:0006633	fatty acid biosynthetic process
RGD:61949	phospholipase A2 group IB	GO:0006633	fatty acid biosynthetic process
RGD:61949	phospholipase A2 group IB	GO:0006633	fatty acid biosynthetic process
RGD:61949	phospholipase A2 group IB	GO:0006633	fatty acid biosynthetic process
RGD:1306698	malonyl-CoA-acyl carrier protein transacylase	GO:0006633	fatty acid biosynthetic process
RGD:620500	acetyl-CoA carboxylase beta	GO:0006633	fatty acid biosynthetic process
RGD:620500	acetyl-CoA carboxylase beta	GO:0006633	fatty acid biosynthetic process
RGD:620500	acetyl-CoA carboxylase beta	GO:0006633	fatty acid biosynthetic process
RGD:1306813	acyl-CoA synthetase medium-chain family member 1	GO:0006633	fatty acid biosynthetic process
RGD:2018	ATP citrate lyase	GO:0006633	fatty acid biosynthetic process
RGD:2018	ATP citrate lyase	GO:0006633	fatty acid biosynthetic process
RGD:2007	ATP binding cassette subfamily D member 3	GO:0006633	fatty acid biosynthetic process
RGD:2007	ATP binding cassette subfamily D member 3	GO:0006633	fatty acid biosynthetic process
RGD:2218	"BRCA1, DNA repair associated"	GO:0006633	fatty acid biosynthetic process
RGD:3828	HNF1 homeobox A	GO:0006633	fatty acid biosynthetic process
RGD:3828	HNF1 homeobox A	GO:0006633	fatty acid biosynthetic process
RGD:71057	protein kinase AMP-activated non-catalytic subunit beta 1	GO:0006633	fatty acid biosynthetic process
RGD:71039	monoglyceride lipase	GO:0006633	fatty acid biosynthetic process
RGD:708383	acyl-CoA synthetase medium-chain family member 2	GO:0006633	fatty acid biosynthetic process
RGD:708367	hydroxysteroid (17-beta) dehydrogenase 12	GO:0006633	fatty acid biosynthetic process
RGD:628876	fatty acid desaturase 3	GO:0006633	fatty acid biosynthetic process
RGD:1309578	acyl-CoA synthetase medium-chain family member 5	GO:0006633	fatty acid biosynthetic process
RGD:3388	protein kinase AMP-activated non-catalytic subunit gamma 1	GO:0006633	fatty acid biosynthetic process
RGD:3387	protein kinase AMP-activated catalytic subunit alpha 1	GO:0006633	fatty acid biosynthetic process
RGD:620665	fatty acid synthase	GO:0006633	fatty acid biosynthetic process
RGD:620665	fatty acid synthase	GO:0006633	fatty acid biosynthetic process
RGD:620905	protein kinase AMP-activated non-catalytic subunit beta 2	GO:0006633	fatty acid biosynthetic process
RGD:1586037	acyl-CoA synthetase family member 3	GO:0006633	fatty acid biosynthetic process
RGD:1586037	acyl-CoA synthetase family member 3	GO:0006633	fatty acid biosynthetic process
RGD:620893	protein kinase AMP-activated catalytic subunit alpha 2	GO:0006633	fatty acid biosynthetic process
RGD:3017	lipoprotein lipase	GO:0006633	fatty acid biosynthetic process
RGD:3017	lipoprotein lipase	GO:0006633	fatty acid biosynthetic process
RGD:3009	"lipase C, hepatic type"	GO:0006633	fatty acid biosynthetic process
RGD:3009	"lipase C, hepatic type"	GO:0006633	fatty acid biosynthetic process
RGD:62086	acyl-CoA synthetase medium-chain family member 3	GO:0006633	fatty acid biosynthetic process
RGD:62086	acyl-CoA synthetase medium-chain family member 3	GO:0006633	fatty acid biosynthetic process
RGD:621248	acetyl-CoA carboxylase alpha	GO:0006633	fatty acid biosynthetic process
